Time (s)	Actin	[G-act]	[A208W]	[G-act] (t)
15.04	1.78617E-10	0.000002	0	1.99982E-06
25.01	0.00E+00	0.000002	0	0.000002
35.02	4.86E-09	0.000002	0	1.99514E-06
45.01	4.34E-09	0.000002	0	1.99566E-06
55.02	4.12E-09	0.000002	0	1.99588E-06
65.02	6.30E-09	0.000002	0	1.9937E-06
75.02	4.47E-09	0.000002	0	1.99553E-06
85.02	6.64E-09	0.000002	0	1.99336E-06
95.01	9.30E-09	0.000002	0	1.9907E-06
105.01	9.84E-09	0.000002	0	1.99016E-06
115.01	1.31E-08	0.000002	0	1.98686E-06
125.02	1.33E-08	0.000002	0	1.98672E-06
135.03	1.42E-08	0.000002	0	1.98575E-06
145.02	1.35E-08	0.000002	0	1.98649E-06
155.01	1.95E-08	0.000002	0	1.9805E-06
165.02	1.89E-08	0.000002	0	1.98111E-06
175.01	2.38E-08	0.000002	0	1.97619E-06
185.01	2.49E-08	0.000002	0	1.97506E-06
195.02	2.55E-08	0.000002	0	1.97453E-06
205	2.78E-08	0.000002	0	1.97221E-06
215.02	3.01E-08	0.000002	0	1.96985E-06
225.01	3.39E-08	0.000002	0	1.96608E-06
235.01	3.58E-08	0.000002	0	1.96416E-06
245.01	3.69E-08	0.000002	0	1.96311E-06
255.01	4.28E-08	0.000002	0	1.95715E-06
265.01	4.22E-08	0.000002	0	1.95778E-06
275.01	4.53E-08	0.000002	0	1.95466E-06
285.02	5.08E-08	0.000002	0	1.94917E-06
295.01	4.83E-08	0.000002	0	1.95175E-06
305.02	5.71E-08	0.000002	0	1.94294E-06
315.02	6.08E-08	0.000002	0	1.93922E-06
325.02	6.46E-08	0.000002	0	1.93542E-06
335.02	6.89E-08	0.000002	0	1.93115E-06
345.01	7.19E-08	0.000002	0	1.9281E-06
355.01	7.27E-08	0.000002	0	1.92732E-06
365.02	7.48E-08	0.000002	0	1.92522E-06
375.02	8.55E-08	0.000002	0	1.91446E-06
385.02	8.55E-08	0.000002	0	1.91452E-06
395.02	9.37E-08	0.000002	0	1.90633E-06
405.01	9.89E-08	0.000002	0	1.90106E-06
415.02	1.01E-07	0.000002	0	1.899E-06
425.02	1.03E-07	0.000002	0	1.8974E-06
435.02	1.04E-07	0.000002	0	1.89579E-06
445.02	1.13E-07	0.000002	0	1.88721E-06
455.02	1.17E-07	0.000002	0	1.88275E-06
465.02	1.19E-07	0.000002	0	1.88056E-06
475.01	1.22E-07	0.000002	0	1.87773E-06
485.01	1.30E-07	0.000002	0	1.8696E-06
495.02	1.35E-07	0.000002	0	1.86507E-06
505.01	1.38E-07	0.000002	0	1.86173E-06
515.02	1.43E-07	0.000002	0	1.85728E-06
525.01	1.46E-07	0.000002	0	1.85394E-06
535.02	1.53E-07	0.000002	0	1.84696E-06
545.01	1.58E-07	0.000002	0	1.84177E-06
555.02	1.61E-07	0.000002	0	1.83894E-06
565.01	1.66E-07	0.000002	0	1.83432E-06
575.02	1.74E-07	0.000002	0	1.82627E-06
585.01	1.80E-07	0.000002	0	1.82049E-06
595.02	1.82E-07	0.000002	0	1.81757E-06
605.02	1.91E-07	0.000002	0	1.80944E-06
615.03	1.93E-07	0.000002	0	1.80734E-06
625.02	1.99E-07	0.000002	0	1.8006E-06
635.01	2.03E-07	0.000002	0	1.79683E-06
645.01	2.10E-07	0.000002	0	1.78957E-06
655.02	2.10E-07	0.000002	0	1.79005E-06
665.02	2.21E-07	0.000002	0	1.77862E-06
675.01	2.28E-07	0.000002	0	1.77233E-06
685.02	2.32E-07	0.000002	0	1.76798E-06
695.01	2.43E-07	0.000002	0	1.75682E-06
705.02	2.40E-07	0.000002	0	1.75994E-06
715.01	2.47E-07	0.000002	0	1.75308E-06
725.02	2.52E-07	0.000002	0	1.74756E-06
735.02	2.64E-07	0.000002	0	1.73577E-06
745.01	2.67E-07	0.000002	0	1.73256E-06
755.02	2.74E-07	0.000002	0	1.72574E-06
765.02	2.80E-07	0.000002	0	1.72041E-06
775.02	2.87E-07	0.000002	0	1.71327E-06
785.01	2.89E-07	0.000002	0	1.71131E-06
795.02	3.01E-07	0.000002	0	1.69854E-06
805.02	2.97E-07	0.000002	0	1.70285E-06
815.01	3.06E-07	0.000002	0	1.69364E-06
825.02	3.04E-07	0.000002	0	1.69624E-06
835.01	3.18E-07	0.000002	0	1.68175E-06
845.02	3.24E-07	0.000002	0	1.67596E-06
855.01	3.31E-07	0.000002	0	1.66903E-06
865.01	3.34E-07	0.000002	0	1.66575E-06
875.01	3.43E-07	0.000002	0	1.65699E-06
885.01	3.52E-07	0.000002	0	1.6484E-06
895.01	3.57E-07	0.000002	0	1.64285E-06
905.02	3.59E-07	0.000002	0	1.64146E-06
915.02	3.66E-07	0.000002	0	1.63368E-06
925.02	3.74E-07	0.000002	0	1.62629E-06
935.02	3.76E-07	0.000002	0	1.62371E-06
945.02	3.92E-07	0.000002	0	1.6079E-06
955.02	3.91E-07	0.000002	0	1.60932E-06
965	3.99E-07	0.000002	0	1.60128E-06
975.02	4.02E-07	0.000002	0	1.59791E-06
985.01	4.12E-07	0.000002	0	1.588E-06
995.02	4.11E-07	0.000002	0	1.5885E-06
1005.01	4.18E-07	0.000002	0	1.58238E-06
1015.01	4.27E-07	0.000002	0	1.57306E-06
1025.02	4.35E-07	0.000002	0	1.56488E-06
