Time (s)	100nM	[G-act]	[A208W]	[G-act] (t)															
15.04	8.52734E-10	0.000002	0.0000001	1.99915E-06															
25.01	3.44284E-09	0.000002	0.0000001	1.99656E-06															
35.02	0	0.000002	0.0000001	0.000002															
45.01	3.5255E-09	0.000002	0.0000001	1.99647E-06															
55.02	5.91258E-09	0.000002	0.0000001	1.99409E-06															
65.02	4.45365E-09	0.000002	0.0000001	1.99555E-06															
75.02	8.67236E-09	0.000002	0.0000001	1.99133E-06															
85.02	1.7352E-08	0.000002	0.0000001	1.98265E-06															
95.01	1.77145E-08	0.000002	0.0000001	1.98229E-06															
105.01	2.52847E-08	0.000002	0.0000001	1.97472E-06															
115.01	2.48961E-08	0.000002	0.0000001	1.9751E-06															
125.02	3.0565E-08	0.000002	0.0000001	1.96943E-06															
135.03	3.98218E-08	0.000002	0.0000001	1.96018E-06															
145.02	4.64856E-08	0.000002	0.0000001	1.95351E-06															
155.01	5.25606E-08	0.000002	0.0000001	1.94744E-06															
165.02	6.28152E-08	0.000002	0.0000001	1.93718E-06															
175.01	7.20502E-08	0.000002	0.0000001	1.92795E-06															
185.01	7.83993E-08	0.000002	0.0000001	1.9216E-06															
195.02	8.79882E-08	0.000002	0.0000001	1.91201E-06															
205	1.01129E-07	0.000002	0.0000001	1.89887E-06															
215.02	1.14285E-07	0.000002	0.0000001	1.88571E-06															
225.01	1.23588E-07	0.000002	0.0000001	1.87641E-06															
235.01	1.30142E-07	0.000002	0.0000001	1.86986E-06															
245.01	1.44317E-07	0.000002	0.0000001	1.85568E-06															
255.01	1.61193E-07	0.000002	0.0000001	1.83881E-06															
265.01	1.71988E-07	0.000002	0.0000001	1.82801E-06															
275.01	1.89755E-07	0.000002	0.0000001	1.81024E-06															
285.02	1.98655E-07	0.000002	0.0000001	1.80134E-06															
295.01	2.19934E-07	0.000002	0.0000001	1.78007E-06															
305.02	2.41769E-07	0.000002	0.0000001	1.75823E-06															
315.02	2.5217E-07	0.000002	0.0000001	1.74783E-06															
325.02	2.72638E-07	0.000002	0.0000001	1.72736E-06															
335.02	2.81847E-07	0.000002	0.0000001	1.71815E-06															
