Time (s)	2.5nM	[G-act]	[A208W]	[G-act] (t)
15.04	8.86743E-09	0.000002	2.5E-09	1.99113E-06
25.03	4.47311E-09	0.000002	2.5E-09	1.99553E-06
35.02	1.48177E-09	0.000002	2.5E-09	1.99852E-06
45.01	3.31891E-09	0.000002	2.5E-09	1.99668E-06
55.01	5.6026E-09	0.000002	2.5E-09	1.9944E-06
65.01	1.50649E-09	0.000002	2.5E-09	1.99849E-06
75.02	0	0.000002	2.5E-09	0.000002
85.01	8.5754E-10	0.000002	2.5E-09	1.99914E-06
95.02	1.8974E-09	0.000002	2.5E-09	1.9981E-06
105.01	2.76731E-09	0.000002	2.5E-09	1.99723E-06
115.02	4.39277E-09	0.000002	2.5E-09	1.99561E-06
125.02	6.42305E-09	0.000002	2.5E-09	1.99358E-06
135.01	5.45426E-09	0.000002	2.5E-09	1.99455E-06
145.02	1.06072E-08	0.000002	2.5E-09	1.98939E-06
155.02	1.37423E-08	0.000002	2.5E-09	1.98626E-06
165.02	1.47126E-08	0.000002	2.5E-09	1.98529E-06
175.02	1.89354E-08	0.000002	2.5E-09	1.98106E-06
185.03	2.16842E-08	0.000002	2.5E-09	1.97832E-06
195.01	2.5737E-08	0.000002	2.5E-09	1.97426E-06
205.01	2.97899E-08	0.000002	2.5E-09	1.97021E-06
215	3.03229E-08	0.000002	2.5E-09	1.96968E-06
225.02	3.43032E-08	0.000002	2.5E-09	1.9657E-06
235.02	3.74305E-08	0.000002	2.5E-09	1.96257E-06
245.02	4.1403E-08	0.000002	2.5E-09	1.9586E-06
255.02	4.93341E-08	0.000002	2.5E-09	1.95067E-06
265.02	4.96354E-08	0.000002	2.5E-09	1.95036E-06
275.02	5.35769E-08	0.000002	2.5E-09	1.94642E-06
285.01	5.82123E-08	0.000002	2.5E-09	1.94179E-06
295.01	6.7279E-08	0.000002	2.5E-09	1.93272E-06
305	7.3203E-08	0.000002	2.5E-09	1.9268E-06
315.01	7.58962E-08	0.000002	2.5E-09	1.9241E-06
325.01	8.49954E-08	0.000002	2.5E-09	1.915E-06
335.01	8.8064E-08	0.000002	2.5E-09	1.91194E-06
345.02	9.90776E-08	0.000002	2.5E-09	1.90092E-06
355.01	9.98996E-08	0.000002	2.5E-09	1.9001E-06
365.01	1.06857E-07	0.000002	2.5E-09	1.89314E-06
375.01	1.1068E-07	0.000002	2.5E-09	1.88932E-06
385.02	1.17213E-07	0.000002	2.5E-09	1.88279E-06
395.02	1.28316E-07	0.000002	2.5E-09	1.87168E-06
405.02	1.28286E-07	0.000002	2.5E-09	1.87171E-06
415.01	1.37379E-07	0.000002	2.5E-09	1.86262E-06
425.02	1.44991E-07	0.000002	2.5E-09	1.85501E-06
435.01	1.51789E-07	0.000002	2.5E-09	1.84821E-06
445.01	1.58504E-07	0.000002	2.5E-09	1.8415E-06
455.01	1.6481E-07	0.000002	2.5E-09	1.83519E-06
465.01	1.74414E-07	0.000002	2.5E-09	1.82559E-06
475.01	1.85258E-07	0.000002	2.5E-09	1.81474E-06
485.02	1.8958E-07	0.000002	2.5E-09	1.81042E-06
495.01	1.95307E-07	0.000002	2.5E-09	1.80469E-06
505.02	2.04402E-07	0.000002	2.5E-09	1.7956E-06
515.01	2.1752E-07	0.000002	2.5E-09	1.78248E-06
525.02	2.17934E-07	0.000002	2.5E-09	1.78207E-06
535.01	2.32078E-07	0.000002	2.5E-09	1.76792E-06
545.02	2.40283E-07	0.000002	2.5E-09	1.75972E-06
555.02	2.4951E-07	0.000002	2.5E-09	1.75049E-06
565.01	2.54232E-07	0.000002	2.5E-09	1.74577E-06
575.01	2.62834E-07	0.000002	2.5E-09	1.73717E-06
585.02	2.71598E-07	0.000002	2.5E-09	1.7284E-06
595.02	2.77474E-07	0.000002	2.5E-09	1.72253E-06
605.01	2.8924E-07	0.000002	2.5E-09	1.71076E-06
615.02	2.99637E-07	0.000002	2.5E-09	1.70036E-06
625.02	3.09723E-07	0.000002	2.5E-09	1.69028E-06
635.02	3.11298E-07	0.000002	2.5E-09	1.6887E-06
645.02	3.21924E-07	0.000002	2.5E-09	1.67808E-06
655.01	3.33161E-07	0.000002	2.5E-09	1.66684E-06
665	3.42108E-07	0.000002	2.5E-09	1.65789E-06
675.02	3.49696E-07	0.000002	2.5E-09	1.6503E-06
685.25	3.60185E-07	0.000002	2.5E-09	1.63981E-06
695.03	3.67769E-07	0.000002	2.5E-09	1.63223E-06
705.01	3.75892E-07	0.000002	2.5E-09	1.62411E-06
715.02	3.8765E-07	0.000002	2.5E-09	1.61235E-06
725.01	3.95338E-07	0.000002	2.5E-09	1.60466E-06
735.02	4.08447E-07	0.000002	2.5E-09	1.59155E-06
745.02	4.17193E-07	0.000002	2.5E-09	1.58281E-06
755.01	4.2195E-07	0.000002	2.5E-09	1.57805E-06
765.01	4.35737E-07	0.000002	2.5E-09	1.56426E-06
775.01	4.44167E-07	0.000002	2.5E-09	1.55583E-06
785.01	4.5384E-07	0.000002	2.5E-09	1.54616E-06
795.01	4.62333E-07	0.000002	2.5E-09	1.53767E-06
805.01	4.70053E-07	0.000002	2.5E-09	1.52995E-06
815.01	4.81133E-07	0.000002	2.5E-09	1.51887E-06
825.01	4.89569E-07	0.000002	2.5E-09	1.51043E-06
835.02	5.00493E-07	0.000002	2.5E-09	1.49951E-06
845.02	5.08361E-07	0.000002	2.5E-09	1.49164E-06
855.01	5.18764E-07	0.000002	2.5E-09	1.48124E-06
865.02	5.31298E-07	0.000002	2.5E-09	1.4687E-06
875.02	5.32007E-07	0.000002	2.5E-09	1.46799E-06
885.02	5.45062E-07	0.000002	2.5E-09	1.45494E-06
895.02	5.54844E-07	0.000002	2.5E-09	1.44516E-06
905.02	5.65981E-07	0.000002	2.5E-09	1.43402E-06
915.02	5.72976E-07	0.000002	2.5E-09	1.42702E-06
925.01	5.84255E-07	0.000002	2.5E-09	1.41574E-06
935.02	5.97194E-07	0.000002	2.5E-09	1.40281E-06
945.01	5.97899E-07	0.000002	2.5E-09	1.4021E-06
955.02	6.13841E-07	0.000002	2.5E-09	1.38616E-06
965.02	6.21411E-07	0.000002	2.5E-09	1.37859E-06
975.01	6.2962E-07	0.000002	2.5E-09	1.37038E-06
985.02	6.41542E-07	0.000002	2.5E-09	1.35846E-06
995.02	6.46474E-07	0.000002	2.5E-09	1.35353E-06
1005.01	6.58534E-07	0.000002	2.5E-09	1.34147E-06
1015.01	6.63225E-07	0.000002	2.5E-09	1.33678E-06
1025.01	6.83064E-07	0.000002	2.5E-09	1.31694E-06
