Time (s)	[F-actin] M	[G-act]	[A208W]	[G-act] (t)
15.04	4.58378E-09	0.000002	0.00000002	1.99542E-06
25.01	1.05961E-09	0.000002	0.00000002	1.99894E-06
35.02	0	0.000002	0.00000002	0.000002
45.01	3.68946E-09	0.000002	0.00000002	1.99631E-06
55.02	1.85063E-09	0.000002	0.00000002	1.99815E-06
65.02	3.29985E-09	0.000002	0.00000002	1.9967E-06
75.02	3.2054E-09	0.000002	0.00000002	1.99679E-06
85.02	6.23223E-09	0.000002	0.00000002	1.99377E-06
95.01	5.76293E-09	0.000002	0.00000002	1.99424E-06
105.01	6.2101E-09	0.000002	0.00000002	1.99379E-06
115.01	9.4701E-09	0.000002	0.00000002	1.99053E-06
125.02	9.85971E-09	0.000002	0.00000002	1.99014E-06
135.03	1.05784E-08	0.000002	0.00000002	1.98942E-06
145.02	1.35565E-08	0.000002	0.00000002	1.98644E-06
155.01	1.90332E-08	0.000002	0.00000002	1.98097E-06
165.02	1.95217E-08	0.000002	0.00000002	1.98048E-06
175.01	2.49481E-08	0.000002	0.00000002	1.97505E-06
185.01	2.31063E-08	0.000002	0.00000002	1.97689E-06
195.02	3.50513E-08	0.000002	0.00000002	1.96495E-06
205	3.57936E-08	0.000002	0.00000002	1.96421E-06
215.02	3.7507E-08	0.000002	0.00000002	1.96249E-06
225.01	4.31371E-08	0.000002	0.00000002	1.95686E-06
235.01	4.73815E-08	0.000002	0.00000002	1.95262E-06
245.01	5.80366E-08	0.000002	0.00000002	1.94196E-06
255.01	5.54776E-08	0.000002	0.00000002	1.94452E-06
265.01	6.28359E-08	0.000002	0.00000002	1.93716E-06
275.01	6.41744E-08	0.000002	0.00000002	1.93583E-06
285.02	7.58656E-08	0.000002	0.00000002	1.92413E-06
295.01	8.18396E-08	0.000002	0.00000002	1.91816E-06
305.02	8.95476E-08	0.000002	0.00000002	1.91045E-06
315.02	9.27559E-08	0.000002	0.00000002	1.90724E-06
325.02	1.02037E-07	0.000002	0.00000002	1.89796E-06
335.02	1.07011E-07	0.000002	0.00000002	1.89299E-06
345.01	1.14559E-07	0.000002	0.00000002	1.88544E-06
355.01	1.23442E-07	0.000002	0.00000002	1.87656E-06
365.02	1.32252E-07	0.000002	0.00000002	1.86775E-06
375.02	1.41846E-07	0.000002	0.00000002	1.85815E-06
385.02	1.47202E-07	0.000002	0.00000002	1.8528E-06
395.02	1.59861E-07	0.000002	0.00000002	1.84014E-06
405.01	1.67035E-07	0.000002	0.00000002	1.83296E-06
415.02	1.72957E-07	0.000002	0.00000002	1.82704E-06
425.02	1.83337E-07	0.000002	0.00000002	1.81666E-06
435.02	1.93086E-07	0.000002	0.00000002	1.80691E-06
445.02	2.05571E-07	0.000002	0.00000002	1.79443E-06
455.02	2.14014E-07	0.000002	0.00000002	1.78599E-06
465.02	2.25295E-07	0.000002	0.00000002	1.77471E-06
475.01	2.35139E-07	0.000002	0.00000002	1.76486E-06
485.01	2.4363E-07	0.000002	0.00000002	1.75637E-06
495.02	2.58355E-07	0.000002	0.00000002	1.74164E-06
505.01	2.67803E-07	0.000002	0.00000002	1.7322E-06
515.02	2.79956E-07	0.000002	0.00000002	1.72004E-06
525.01	2.9217E-07	0.000002	0.00000002	1.70783E-06
535.02	3.05806E-07	0.000002	0.00000002	1.69419E-06
545.01	3.08549E-07	0.000002	0.00000002	1.69145E-06
555.02	3.19904E-07	0.000002	0.00000002	1.6801E-06
565.01	3.36808E-07	0.000002	0.00000002	1.66319E-06
575.02	3.46601E-07	0.000002	0.00000002	1.6534E-06
585.01	3.64194E-07	0.000002	0.00000002	1.63581E-06
595.02	3.7212E-07	0.000002	0.00000002	1.62788E-06
605.02	3.91847E-07	0.000002	0.00000002	1.60815E-06
615.03	3.98591E-07	0.000002	0.00000002	1.60141E-06
625.02	4.16866E-07	0.000002	0.00000002	1.58313E-06
635.01	4.31675E-07	0.000002	0.00000002	1.56832E-06
645.01	4.43981E-07	0.000002	0.00000002	1.55602E-06
655.02	4.5119E-07	0.000002	0.00000002	1.54881E-06
665.02	4.62801E-07	0.000002	0.00000002	1.5372E-06
675.01	4.82171E-07	0.000002	0.00000002	1.51783E-06
685.02	4.95209E-07	0.000002	0.00000002	1.50479E-06
695.01	5.04057E-07	0.000002	0.00000002	1.49594E-06
705.02	5.29424E-07	0.000002	0.00000002	1.47058E-06
715.01	5.41455E-07	0.000002	0.00000002	1.45855E-06
725.02	5.51463E-07	0.000002	0.00000002	1.44854E-06
735.02	5.66776E-07	0.000002	0.00000002	1.43322E-06
745.01	5.75954E-07	0.000002	0.00000002	1.42405E-06
755.02	6.04856E-07	0.000002	0.00000002	1.39514E-06
765.02	6.153E-07	0.000002	0.00000002	1.3847E-06
775.02	6.26579E-07	0.000002	0.00000002	1.37342E-06
785.01	6.41532E-07	0.000002	0.00000002	1.35847E-06
795.02	6.60138E-07	0.000002	0.00000002	1.33986E-06
805.02	6.71405E-07	0.000002	0.00000002	1.3286E-06
815.01	6.87134E-07	0.000002	0.00000002	1.31287E-06
825.02	7.01965E-07	0.000002	0.00000002	1.29803E-06
835.01	7.16468E-07	0.000002	0.00000002	1.28353E-06
845.02	7.37269E-07	0.000002	0.00000002	1.26273E-06
855.01	7.50355E-07	0.000002	0.00000002	1.24965E-06
865.01	7.72664E-07	0.000002	0.00000002	1.22734E-06
875.01	7.89442E-07	0.000002	0.00000002	1.21056E-06
885.01	7.93146E-07	0.000002	0.00000002	1.20685E-06
895.01	8.27906E-07	0.000002	0.00000002	1.17209E-06
905.02	8.29414E-07	0.000002	0.00000002	1.17059E-06
915.02	8.48215E-07	0.000002	0.00000002	1.15178E-06
925.02	8.61714E-07	0.000002	0.00000002	1.13829E-06
935.02	8.7882E-07	0.000002	0.00000002	1.12118E-06
945.02	8.90045E-07	0.000002	0.00000002	1.10996E-06
955.02	9.24652E-07	0.000002	0.00000002	1.07535E-06
965	9.40232E-07	0.000002	0.00000002	1.05977E-06
975.02	9.4858E-07	0.000002	0.00000002	1.05142E-06
985.01	9.67947E-07	0.000002	0.00000002	1.03205E-06
995.02	9.79758E-07	0.000002	0.00000002	1.02024E-06
1005.01	9.9471E-07	0.000002	0.00000002	1.00529E-06
1015.01	1.00058E-06	0.000002	0.00000002	9.99423E-07
1025.02	1.03637E-06	0.000002	0.00000002	9.6363E-07
1035.01	1.04097E-06	0.000002	0.00000002	9.59031E-07
1045.02	1.05366E-06	0.000002	0.00000002	9.46338E-07
1055.01	1.07131E-06	0.000002	0.00000002	9.28689E-07
1065.02	1.08662E-06	0.000002	0.00000002	9.13382E-07
1075.02	1.11016E-06	0.000002	0.00000002	8.89844E-07
1085.02	1.11836E-06	0.000002	0.00000002	8.81635E-07
1095.01	1.14172E-06	0.000002	0.00000002	8.58278E-07
