Time (s)	60nM	[G-act]	[A208W]	[G-act] (t)
15.04	2.75931E-09	0.000002	0.00000006	1.99724E-06
25.01	1.01621E-09	0.000002	0.00000006	1.99898E-06
35.02	4.65216E-11	0.000002	0.00000006	1.99995E-06
45.01	8.4902E-10	0.000002	0.00000006	1.99915E-06
55.02	6.22227E-10	0.000002	0.00000006	1.99938E-06
65.02	0	0.000002	0.00000006	0.000002
75.02	1.76201E-09	0.000002	0.00000006	1.99824E-06
85.02	2.61684E-10	0.000002	0.00000006	1.99974E-06
95.01	6.26734E-09	0.000002	0.00000006	1.99373E-06
105.01	7.86797E-09	0.000002	0.00000006	1.99213E-06
115.01	1.31467E-08	0.000002	0.00000006	1.98685E-06
125.02	1.43577E-08	0.000002	0.00000006	1.98564E-06
135.03	2.1256E-08	0.000002	0.00000006	1.97874E-06
145.02	2.29933E-08	0.000002	0.00000006	1.97701E-06
155.01	2.5427E-08	0.000002	0.00000006	1.97457E-06
165.02	3.15053E-08	0.000002	0.00000006	1.96849E-06
175.01	3.73554E-08	0.000002	0.00000006	1.96264E-06
185.01	4.30514E-08	0.000002	0.00000006	1.95695E-06
195.02	4.26705E-08	0.000002	0.00000006	1.95733E-06
205	5.42457E-08	0.000002	0.00000006	1.94575E-06
215.02	5.99896E-08	0.000002	0.00000006	1.94001E-06
225.01	6.61988E-08	0.000002	0.00000006	1.9338E-06
235.01	7.19239E-08	0.000002	0.00000006	1.92808E-06
245.01	8.28826E-08	0.000002	0.00000006	1.91712E-06
255.01	8.71336E-08	0.000002	0.00000006	1.91287E-06
265.01	9.92728E-08	0.000002	0.00000006	1.90073E-06
275.01	1.08811E-07	0.000002	0.00000006	1.89119E-06
285.02	1.19739E-07	0.000002	0.00000006	1.88026E-06
295.01	1.27673E-07	0.000002	0.00000006	1.87233E-06
305.02	1.38441E-07	0.000002	0.00000006	1.86156E-06
315.02	1.48641E-07	0.000002	0.00000006	1.85136E-06
325.02	1.58977E-07	0.000002	0.00000006	1.84102E-06
335.02	1.69379E-07	0.000002	0.00000006	1.83062E-06
345.01	1.82847E-07	0.000002	0.00000006	1.81715E-06
355.01	1.93936E-07	0.000002	0.00000006	1.80606E-06
365.02	2.11601E-07	0.000002	0.00000006	1.7884E-06
375.02	2.18618E-07	0.000002	0.00000006	1.78138E-06
385.02	2.37587E-07	0.000002	0.00000006	1.76241E-06
395.02	2.56333E-07	0.000002	0.00000006	1.74367E-06
405.01	2.67342E-07	0.000002	0.00000006	1.73266E-06
415.02	2.81744E-07	0.000002	0.00000006	1.71826E-06
425.02	2.92516E-07	0.000002	0.00000006	1.70748E-06
