Time (s)	[F-actin] M	[G-act] (0)	[G-act] (t)
15.04	7.86412E-10	0.000002	1.99921E-06
25.01	2.02926E-09	0.000002	1.99797E-06
35.03	1.77239E-09	0.000002	1.99823E-06
45.03	0	0.000002	0.000002
55.02	7.70802E-09	0.000002	1.99229E-06
65.01	1.01581E-08	0.000002	1.98984E-06
75.01	4.09606E-09	0.000002	1.9959E-06
85.02	1.44696E-08	0.000002	1.98553E-06
95.01	1.47699E-08	0.000002	1.98523E-06
105.02	2.23416E-08	0.000002	1.97766E-06
115.02	2.32426E-08	0.000002	1.97676E-06
125.02	2.75224E-08	0.000002	1.97248E-06
135.01	3.00773E-08	0.000002	1.96992E-06
145.02	3.59279E-08	0.000002	1.96407E-06
155.02	3.90914E-08	0.000002	1.96091E-06
165.01	4.39561E-08	0.000002	1.95604E-06
175.03	4.98502E-08	0.000002	1.95015E-06
185.01	5.37388E-08	0.000002	1.94626E-06
195.02	5.85699E-08	0.000002	1.94143E-06
205.02	6.82321E-08	0.000002	1.93177E-06
215.02	6.84376E-08	0.000002	1.93156E-06
225.02	7.3737E-08	0.000002	1.92626E-06
235.01	8.10715E-08	0.000002	1.91893E-06
245.03	8.27333E-08	0.000002	1.91727E-06
255.01	9.02417E-08	0.000002	1.90976E-06
265.01	9.4316E-08	0.000002	1.90568E-06
275.01	1.06185E-07	0.000002	1.89381E-06
285.02	1.09349E-07	0.000002	1.89065E-06
295.01	1.13354E-07	0.000002	1.88665E-06
305.02	1.17136E-07	0.000002	1.88286E-06
315.01	1.22773E-07	0.000002	1.87723E-06
325.01	1.32825E-07	0.000002	1.86718E-06
335.02	1.39635E-07	0.000002	1.86036E-06
345.01	1.457E-07	0.000002	1.8543E-06
355.01	1.49845E-07	0.000002	1.85016E-06
365.02	1.59323E-07	0.000002	1.84068E-06
375.01	1.62044E-07	0.000002	1.83796E-06
385.01	1.74747E-07	0.000002	1.82525E-06
395.02	1.73263E-07	0.000002	1.82674E-06
405.03	1.84054E-07	0.000002	1.81595E-06
415.02	1.88326E-07	0.000002	1.81167E-06
425.02	1.97862E-07	0.000002	1.80214E-06
435.01	2.08446E-07	0.000002	1.79155E-06
445.02	2.13495E-07	0.000002	1.78651E-06
455.02	2.21687E-07	0.000002	1.77831E-06
465.01	2.26362E-07	0.000002	1.77364E-06
475.01	2.32944E-07	0.000002	1.76706E-06
485.02	2.33795E-07	0.000002	1.7662E-06
495.03	2.46765E-07	0.000002	1.75323E-06
505.01	2.5965E-07	0.000002	1.74035E-06
515.01	2.61636E-07	0.000002	1.73836E-06
525.01	2.71654E-07	0.000002	1.72835E-06
535.01	2.80834E-07	0.000002	1.71917E-06
545.01	2.8594E-07	0.000002	1.71406E-06
555.01	2.88732E-07	0.000002	1.71127E-06
565.02	2.99289E-07	0.000002	1.70071E-06
575.01	3.18402E-07	0.000002	1.6816E-06
585.02	3.23322E-07	0.000002	1.67668E-06
595.01	3.29607E-07	0.000002	1.67039E-06
605.02	3.34988E-07	0.000002	1.66501E-06
615.02	3.42919E-07	0.000002	1.65708E-06
625.01	3.46853E-07	0.000002	1.65315E-06
635.01	3.54818E-07	0.000002	1.64518E-06
645.01	3.62899E-07	0.000002	1.6371E-06
655.02	3.67225E-07	0.000002	1.63278E-06
665.02	3.80036E-07	0.000002	1.61996E-06
675.02	3.88774E-07	0.000002	1.61123E-06
685.02	3.91844E-07	0.000002	1.60816E-06
695.02	4.04137E-07	0.000002	1.59586E-06
705.01	4.16059E-07	0.000002	1.58394E-06
715.01	4.25711E-07	0.000002	1.57429E-06
725	4.24947E-07	0.000002	1.57505E-06
735.01	4.40064E-07	0.000002	1.55994E-06
745.02	4.41361E-07	0.000002	1.55864E-06
755.02	4.49614E-07	0.000002	1.55039E-06
765.01	4.60444E-07	0.000002	1.53956E-06
775.02	4.72068E-07	0.000002	1.52793E-06
785.01	4.71177E-07	0.000002	1.52882E-06
795.02	4.80341E-07	0.000002	1.51966E-06
805.01	4.98591E-07	0.000002	1.50141E-06
815.03	4.93191E-07	0.000002	1.50681E-06
825.01	5.06694E-07	0.000002	1.49331E-06
835.03	5.20367E-07	0.000002	1.47963E-06
845.02	5.27716E-07	0.000002	1.47228E-06
855.02	5.23418E-07	0.000002	1.47658E-06
865.01	5.35932E-07	0.000002	1.46407E-06
875.01	5.41E-07	0.000002	1.459E-06
885.02	5.57892E-07	0.000002	1.44211E-06
895.02	5.67005E-07	0.000002	1.433E-06
905.02	5.56556E-07	0.000002	1.44344E-06
915.01	5.78423E-07	0.000002	1.42158E-06
925.01	5.82852E-07	0.000002	1.41715E-06
935.01	5.95557E-07	0.000002	1.40444E-06
945.01	5.94827E-07	0.000002	1.40517E-06
955.01	6.05729E-07	0.000002	1.39427E-06
965.01	6.24272E-07	0.000002	1.37573E-06
975.01	6.22771E-07	0.000002	1.37723E-06
985.02	6.37853E-07	0.000002	1.36215E-06
995.02	6.3678E-07	0.000002	1.36322E-06
1005.02	6.45654E-07	0.000002	1.35435E-06
1015.01	6.57572E-07	0.000002	1.34243E-06
1025.02	6.68614E-07	0.000002	1.33139E-06
1035.02	6.66195E-07	0.000002	1.3338E-06
