Time (s)	[F-actin] M	[G-act]	[G-act] (t)
15.04	0	0.000005	0.000005
25.01	9.19007E-09	0.000005	4.99081E-06
35.03	2.00976E-08	0.000005	4.9799E-06
45.03	3.58203E-08	0.000005	4.96418E-06
55.02	5.56706E-08	0.000005	4.94433E-06
65.01	7.70604E-08	0.000005	4.92294E-06
75.01	1.09168E-07	0.000005	4.89083E-06
85.02	1.45058E-07	0.000005	4.85494E-06
95.01	1.87914E-07	0.000005	4.81209E-06
105.02	2.35344E-07	0.000005	4.76466E-06
115.02	2.78231E-07	0.000005	4.72177E-06
125.02	3.49712E-07	0.000005	4.65029E-06
135.01	4.13946E-07	0.000005	4.58605E-06
145.02	4.73898E-07	0.000005	4.5261E-06
155.02	5.62649E-07	0.000005	4.43735E-06
165.01	6.37821E-07	0.000005	4.36218E-06
175.03	7.17254E-07	0.000005	4.28275E-06
185.01	8.03708E-07	0.000005	4.19629E-06
195.02	8.91124E-07	0.000005	4.10888E-06
205.02	9.89137E-07	0.000005	4.01086E-06
215.02	1.0696E-06	0.000005	3.9304E-06
225.02	1.15754E-06	0.000005	3.84246E-06
235.01	1.25073E-06	0.000005	3.74927E-06
245.03	1.31816E-06	0.000005	3.68184E-06
255.01	1.41407E-06	0.000005	3.58593E-06
265.01	1.50078E-06	0.000005	3.49922E-06
275.01	1.59171E-06	0.000005	3.40829E-06
285.02	1.67041E-06	0.000005	3.32959E-06
295.01	1.74582E-06	0.000005	3.25418E-06
305.02	1.83482E-06	0.000005	3.16518E-06
315.01	1.91838E-06	0.000005	3.08162E-06
325.01	1.99929E-06	0.000005	3.00071E-06
335.02	2.06993E-06	0.000005	2.93007E-06
345.01	2.15188E-06	0.000005	2.84812E-06
355.01	2.21724E-06	0.000005	2.78276E-06
365.02	2.29316E-06	0.000005	2.70684E-06
375.01	2.34913E-06	0.000005	2.65087E-06
385.01	2.42198E-06	0.000005	2.57802E-06
395.02	2.49568E-06	0.000005	2.50432E-06
405.03	2.55091E-06	0.000005	2.44909E-06
415.02	2.60645E-06	0.000005	2.39355E-06
425.02	2.67815E-06	0.000005	2.32185E-06
435.01	2.73312E-06	0.000005	2.26688E-06
445.02	2.78369E-06	0.000005	2.21631E-06
455.02	2.85165E-06	0.000005	2.14835E-06
465.01	2.90403E-06	0.000005	2.09597E-06
475.01	2.9431E-06	0.000005	2.0569E-06
485.02	3.01274E-06	0.000005	1.98726E-06
495.03	3.06838E-06	0.000005	1.93162E-06
505.01	3.09981E-06	0.000005	1.90019E-06
515.01	3.15443E-06	0.000005	1.84557E-06
525.01	3.1878E-06	0.000005	1.8122E-06
535.01	3.24248E-06	0.000005	1.75752E-06
545.01	3.28176E-06	0.000005	1.71824E-06
555.01	3.31474E-06	0.000005	1.68526E-06
565.02	3.362E-06	0.000005	1.638E-06
575.01	3.40732E-06	0.000005	1.59268E-06
585.02	3.44092E-06	0.000005	1.55908E-06
595.01	3.4774E-06	0.000005	1.5226E-06
605.02	3.53254E-06	0.000005	1.46746E-06
615.02	3.54138E-06	0.000005	1.45862E-06
625.01	3.59446E-06	0.000005	1.40554E-06
635.01	3.60692E-06	0.000005	1.39308E-06
645.01	3.64322E-06	0.000005	1.35678E-06
655.02	3.68637E-06	0.000005	1.31363E-06
665.02	3.71247E-06	0.000005	1.28753E-06
675.02	3.74104E-06	0.000005	1.25896E-06
685.02	3.77034E-06	0.000005	1.22966E-06
