Time	3uM	[G-act] (0)	[G-act] (t)
15.04	0	0.000003	0.000003
25.02	5.61E-09	0.000003	2.99E-06
35.02	1.44E-08	0.000003	2.99E-06
45.01	1.05E-08	0.000003	2.98E-06
55.02	1.45E-08	0.000003	2.96E-06
65.03	2.31E-08	0.000003	2.96E-06
75.01	3.00E-08	0.000003	2.94E-06
85.02	3.55E-08	0.000003	2.93E-06
95.01	4.10E-08	0.000003	2.91E-06
105.02	5.39E-08	0.000003	2.90E-06
115.02	6.16E-08	0.000003	2.89E-06
125.02	6.94E-08	0.000003	2.87E-06
135.01	7.93E-08	0.000003	2.86E-06
145.02	8.83E-08	0.000003	2.83E-06
155.02	1.01E-07	0.000003	2.82E-06
165.01	1.14E-07	0.000003	2.80E-06
175.01	1.27E-07	0.000003	2.79E-06
185.01	1.40E-07	0.000003	2.77E-06
195.01	1.59E-07	0.000003	2.75E-06
205.02	1.72E-07	0.000003	2.72E-06
215.01	1.87E-07	0.000003	2.71E-06
225.01	2.01E-07	0.000003	2.70E-06
235.01	2.17E-07	0.000003	2.67E-06
245.02	2.28E-07	0.000003	2.64E-06
255.02	2.51E-07	0.000003	2.63E-06
265.02	2.67E-07	0.000003	2.60E-06
275.01	2.84E-07	0.000003	2.58E-06
285.02	3.08E-07	0.000003	2.55E-06
295.02	3.25E-07	0.000003	2.54E-06
305.02	3.44E-07	0.000003	2.51E-06
315.02	3.57E-07	0.000003	2.50E-06
325.02	3.74E-07	0.000003	2.47E-06
335.02	4.03E-07	0.000003	2.45E-06
345.02	4.20E-07	0.000003	2.42E-06
355.01	4.42E-07	0.000003	2.40E-06
365.02	4.60E-07	0.000003	2.37E-06
375.02	4.81E-07	0.000003	2.35E-06
385.02	5.05E-07	0.000003	2.34E-06
395.01	5.30E-07	0.000003	2.30E-06
405.02	5.40E-07	0.000003	2.28E-06
415.02	5.55E-07	0.000003	2.27E-06
425.02	5.95E-07	0.000003	2.25E-06
435.01	6.01E-07	0.000003	2.23E-06
445.02	6.24E-07	0.000003	2.20E-06
455.02	6.45E-07	0.000003	2.18E-06
465.01	6.70E-07	0.000003	2.15E-06
475.02	6.90E-07	0.000003	2.13E-06
485.02	7.05E-07	0.000003	2.10E-06
495.01	7.35E-07	0.000003	2.08E-06
505.02	7.52E-07	0.000003	2.07E-06
515.02	7.65E-07	0.000003	2.05E-06
525.02	7.79E-07	0.000003	2.01E-06
535.02	8.15E-07	0.000003	2.00E-06
545.02	8.33E-07	0.000003	1.99E-06
555.02	8.58E-07	0.000003	1.96E-06
565.02	8.80E-07	0.000003	1.94E-06
575.01	8.96E-07	0.000003	1.91E-06
585.02	9.20E-07	0.000003	1.90E-06
595.01	9.34E-07	0.000003	1.88E-06
605.01	9.73E-07	0.000003	1.85E-06
615.02	9.81E-07	0.000003	1.85E-06
625.02	1.01E-06	0.000003	1.83E-06
