Time (s)	Actin	[G-act]	[A208W]	[G-act] (t)
15.05	3.01854E-09	0.000002	0	1.99698E-06
25.02	2.64E-09	0.000002	0	1.99736E-06
35.02	3.25E-10	0.000002	0	1.99968E-06
45.01	2.20E-09	0.000002	0	1.9978E-06
55.02	0.00E+00	0.000002	0	0.000002
65.01	5.28E-09	0.000002	0	1.99472E-06
75.01	4.23E-09	0.000002	0	1.99577E-06
85.02	5.49E-09	0.000002	0	1.99451E-06
95.01	8.18E-09	0.000002	0	1.99182E-06
105.02	5.05E-09	0.000002	0	1.99495E-06
115.02	5.19E-09	0.000002	0	1.99481E-06
125.02	9.05E-09	0.000002	0	1.99095E-06
135.01	8.70E-09	0.000002	0	1.9913E-06
145.01	9.82E-09	0.000002	0	1.99018E-06
155.02	1.04E-08	0.000002	0	1.98965E-06
165.02	1.17E-08	0.000002	0	1.98828E-06
175.01	1.68E-08	0.000002	0	1.98316E-06
185.02	1.68E-08	0.000002	0	1.98324E-06
195.01	1.54E-08	0.000002	0	1.98465E-06
205.01	1.68E-08	0.000002	0	1.98315E-06
215.01	1.99E-08	0.000002	0	1.98011E-06
225.01	2.53E-08	0.000002	0	1.97474E-06
235.01	2.44E-08	0.000002	0	1.97564E-06
245.01	2.88E-08	0.000002	0	1.97124E-06
255.01	3.10E-08	0.000002	0	1.969E-06
265.01	2.92E-08	0.000002	0	1.97076E-06
275.02	3.34E-08	0.000002	0	1.96656E-06
285.02	3.45E-08	0.000002	0	1.96548E-06
295.01	3.73E-08	0.000002	0	1.96273E-06
305.01	4.25E-08	0.000002	0	1.95745E-06
315.01	4.42E-08	0.000002	0	1.9558E-06
325.02	4.76E-08	0.000002	0	1.95243E-06
335.02	4.86E-08	0.000002	0	1.9514E-06
345.02	5.40E-08	0.000002	0	1.94597E-06
355.01	5.68E-08	0.000002	0	1.94316E-06
365.01	5.97E-08	0.000002	0	1.9403E-06
375.01	5.82E-08	0.000002	0	1.94185E-06
385.02	6.54E-08	0.000002	0	1.93457E-06
395.01	6.90E-08	0.000002	0	1.93096E-06
405.01	7.25E-08	0.000002	0	1.92746E-06
415.01	7.42E-08	0.000002	0	1.92581E-06
425.02	7.61E-08	0.000002	0	1.92391E-06
435.01	8.37E-08	0.000002	0	1.91633E-06
445.02	8.69E-08	0.000002	0	1.91305E-06
455.01	8.97E-08	0.000002	0	1.91033E-06
465.02	9.37E-08	0.000002	0	1.90631E-06
475.01	1.02E-07	0.000002	0	1.89838E-06
485.03	1.05E-07	0.000002	0	1.89484E-06
495.01	1.07E-07	0.000002	0	1.89268E-06
505.02	1.11E-07	0.000002	0	1.88939E-06
515.01	1.13E-07	0.000002	0	1.88684E-06
525.01	1.18E-07	0.000002	0	1.88193E-06
535.02	1.29E-07	0.000002	0	1.87123E-06
545.01	1.30E-07	0.000002	0	1.87028E-06
555.01	1.33E-07	0.000002	0	1.86747E-06
565.01	1.33E-07	0.000002	0	1.86681E-06
575.02	1.39E-07	0.000002	0	1.86138E-06
585.01	1.45E-07	0.000002	0	1.855E-06
595.02	1.48E-07	0.000002	0	1.8515E-06
605.01	1.53E-07	0.000002	0	1.84744E-06
615.02	1.61E-07	0.000002	0	1.8391E-06
625.01	1.62E-07	0.000002	0	1.83823E-06
635.01	1.69E-07	0.000002	0	1.83099E-06
645.02	1.72E-07	0.000002	0	1.82759E-06
655.02	1.79E-07	0.000002	0	1.82058E-06
665.02	1.84E-07	0.000002	0	1.81619E-06
675.01	1.92E-07	0.000002	0	1.8085E-06
685.01	1.95E-07	0.000002	0	1.80467E-06
695.02	1.98E-07	0.000002	0	1.80196E-06
705.02	2.05E-07	0.000002	0	1.79535E-06
715.01	2.14E-07	0.000002	0	1.78563E-06
725.02	2.16E-07	0.000002	0	1.78388E-06
735.01	2.18E-07	0.000002	0	1.78194E-06
745.02	2.25E-07	0.000002	0	1.77537E-06
