Time (s)	100nM_2	[G-act]	[F204Y]	[G-act] (t)															
15.05	1.28818E-08	0.000002	0.0000001	1.98712E-06															
25.02	4.73352E-09	0.000002	0.0000001	1.99527E-06															
35.02		0.000002	0.0000001	0.000002															
45.01		0.000002	0.0000001	0.000002															
55.02	0	0.000002	0.0000001	0.000002															
65.01	2.62858E-09	0.000002	0.0000001	1.99737E-06															
75.01	3.11513E-09	0.000002	0.0000001	1.99688E-06															
85.02	4.17873E-09	0.000002	0.0000001	1.99582E-06															
95.01	9.76371E-09	0.000002	0.0000001	1.99024E-06															
105.02	1.10617E-08	0.000002	0.0000001	1.98894E-06															
115.02	1.97588E-08	0.000002	0.0000001	1.98024E-06															
125.02	2.48825E-08	0.000002	0.0000001	1.97512E-06															
135.01	3.26555E-08	0.000002	0.0000001	1.96734E-06															
145.01	4.35184E-08	0.000002	0.0000001	1.95648E-06															
155.02	5.27169E-08	0.000002	0.0000001	1.94728E-06															
165.02	7.12742E-08	0.000002	0.0000001	1.92873E-06															
175.01	8.93153E-08	0.000002	0.0000001	1.91068E-06															
185.02	1.13616E-07	0.000002	0.0000001	1.88638E-06															
195.01	1.34409E-07	0.000002	0.0000001	1.86559E-06															
205.01	1.66754E-07	0.000002	0.0000001	1.83325E-06															
215.01	1.89691E-07	0.000002	0.0000001	1.81031E-06															
225.01	2.24062E-07	0.000002	0.0000001	1.77594E-06															
235.01	2.60784E-07	0.000002	0.0000001	1.73922E-06															
245.01	2.97639E-07	0.000002	0.0000001	1.70236E-06															
255.01	3.35065E-07	0.000002	0.0000001	1.66494E-06															
265.01	3.79246E-07	0.000002	0.0000001	1.62075E-06															
275.02	4.24502E-07	0.000002	0.0000001	1.5755E-06															
285.02	4.69771E-07	0.000002	0.0000001	1.53023E-06															
295.01	5.19513E-07	0.000002	0.0000001	1.48049E-06															
305.01	5.62106E-07	0.000002	0.0000001	1.43789E-06															
315.01	6.12206E-07	0.000002	0.0000001	1.38779E-06															
325.02	6.68371E-07	0.000002	0.0000001	1.33163E-06															
335.02	7.23034E-07	0.000002	0.0000001	1.27697E-06															
345.02	7.76926E-07	0.000002	0.0000001	1.22307E-06															
355.01	8.26386E-07	0.000002	0.0000001	1.17361E-06															
365.01	8.80063E-07	0.000002	0.0000001	1.11994E-06															
375.01	9.36302E-07	0.000002	0.0000001	1.0637E-06															
385.02	9.8218E-07	0.000002	0.0000001	1.01782E-06															
395.01	1.0449E-06	0.000002	0.0000001	9.55105E-07															
405.01	1.08862E-06	0.000002	0.0000001	9.11385E-07															
415.01	1.12377E-06	0.000002	0.0000001	8.76228E-07															
425.02	1.18875E-06	0.000002	0.0000001	8.11247E-07															
435.01	1.23218E-06	0.000002	0.0000001	7.67825E-07															
445.02	1.27963E-06	0.000002	0.0000001	7.20368E-07															
455.01	1.31913E-06	0.000002	0.0000001	6.80874E-07															
465.02	1.36382E-06	0.000002	0.0000001	6.36184E-07															
475.01	1.40505E-06	0.000002	0.0000001	5.94945E-07															
485.03	1.42548E-06	0.000002	0.0000001	5.7452E-07															
495.01	1.475E-06	0.000002	0.0000001	5.24997E-07															
505.02	1.51226E-06	0.000002	0.0000001	4.87742E-07															
515.01	1.54309E-06	0.000002	0.0000001	4.56906E-07															
525.01	1.57371E-06	0.000002	0.0000001	4.26288E-07															
535.02	1.60532E-06	0.000002	0.0000001	3.94681E-07															
545.01	1.63733E-06	0.000002	0.0000001	3.62671E-07															
555.01	1.65706E-06	0.000002	0.0000001	3.42943E-07															
565.01	1.67508E-06	0.000002	0.0000001	3.24915E-07															
575.02	1.70035E-06	0.000002	0.0000001	2.99655E-07															
585.01	1.73414E-06	0.000002	0.0000001	2.65861E-07															
595.02	1.74568E-06	0.000002	0.0000001	2.54324E-07															
605.01	1.74917E-06	0.000002	0.0000001	2.50835E-07															
615.02	1.76841E-06	0.000002	0.0000001	2.31586E-07															
625.01	1.79126E-06	0.000002	0.0000001	2.08745E-07															
635.01	1.7981E-06	0.000002	0.0000001	2.01905E-07															
645.02	1.81254E-06	0.000002	0.0000001	1.87455E-07															
655.02	1.8338E-06	0.000002	0.0000001	1.66202E-07															
665.02	1.83433E-06	0.000002	0.0000001	1.65665E-07															
675.01	1.84302E-06	0.000002	0.0000001	1.5698E-07															
685.01	1.85154E-06	0.000002	0.0000001	1.48463E-07															
695.02	1.85633E-06	0.000002	0.0000001	1.43667E-07															
705.02	1.85441E-06	0.000002	0.0000001	1.45591E-07															
715.01	1.87393E-06	0.000002	0.0000001	1.26072E-07															
725.02	1.87846E-06	0.000002	0.0000001	1.2154E-07															
735.01	1.86999E-06	0.000002	0.0000001	1.30008E-07															
745.02	1.88624E-06	0.000002	0.0000001	1.13758E-07															
755.02	1.88132E-06	0.000002	0.0000001	1.1868E-07															
765.02	1.88855E-06	0.000002	0.0000001	1.11453E-07															
775.01	1.88466E-06	0.000002	0.0000001	1.15335E-07															
785.01	1.88321E-06	0.000002	0.0000001	1.16791E-07															
795.02	1.88988E-06	0.000002	0.0000001	1.1012E-07															
805.01	0.0000019	0.000002	0.0000001	1E-07															
815.01	1.89177E-06	0.000002	0.0000001	1.08225E-07															
825.02	1.89177E-06	0.000002	0.0000001	1.0823E-07															
835.01	1.89005E-06	0.000002	0.0000001	1.09946E-07															
845.02	1.89985E-06	0.000002	0.0000001	1.00145E-07															
855.02	1.88676E-06	0.000002	0.0000001	1.13241E-07															
865.01	1.88327E-06	0.000002	0.0000001	1.1673E-07															
875.01	1.88135E-06	0.000002	0.0000001	1.18649E-07															
885.02	1.88084E-06	0.000002	0.0000001	1.19163E-07															
895.01	1.88096E-06	0.000002	0.0000001	1.19039E-07															
905.02	1.87075E-06	0.000002	0.0000001	1.29245E-07															
915.02	1.87844E-06	0.000002	0.0000001	1.21563E-07															
925.01	1.87069E-06	0.000002	0.0000001	1.29307E-07															
935.02	1.86698E-06	0.000002	0.0000001	1.3302E-07															
945.01	1.87185E-06	0.000002	0.0000001	1.28153E-07															
955.01	1.86584E-06	0.000002	0.0000001	1.34161E-07															
965.02	1.86343E-06	0.000002	0.0000001	1.36566E-07															
975.02	1.86009E-06	0.000002	0.0000001	1.39914E-07															
985.02	1.85646E-06	0.000002	0.0000001	1.43539E-07															
995.01	1.85916E-06	0.000002	0.0000001	1.40844E-07															
1005.02	1.85556E-06	0.000002	0.0000001	1.44437E-07															
1015.01	1.86367E-06	0.000002	0.0000001	1.3633E-07															
