Time (s)	[F-actin] M	[G-act]	[F204Y]	[G-act] (t)
15.04	4.20495E-10	0.000002	0.00000001	1.99958E-06
25.02	0	0.000002	0.00000001	0.000002
35.01	2.75302E-09	0.000002	0.00000001	1.99725E-06
45.02	9.23566E-09	0.000002	0.00000001	1.99076E-06
55.02	3.33806E-09	0.000002	0.00000001	1.99666E-06
65.01	6.43845E-09	0.000002	0.00000001	1.99356E-06
75.01	7.25202E-10	0.000002	0.00000001	1.99927E-06
85.01	2.20455E-09	0.000002	0.00000001	1.9978E-06
95.02	3.00441E-09	0.000002	0.00000001	1.997E-06
105.01	5.23791E-09	0.000002	0.00000001	1.99476E-06
115.03	7.80963E-09	0.000002	0.00000001	1.99219E-06
125.01	8.86087E-09	0.000002	0.00000001	1.99114E-06
135.01	1.55644E-08	0.000002	0.00000001	1.98444E-06
145.02	1.63003E-08	0.000002	0.00000001	1.9837E-06
155.02	1.51576E-08	0.000002	0.00000001	1.98484E-06
165.02	2.32354E-08	0.000002	0.00000001	1.97676E-06
175.01	2.71387E-08	0.000002	0.00000001	1.97286E-06
185.02	3.28276E-08	0.000002	0.00000001	1.96717E-06
195.01	3.42018E-08	0.000002	0.00000001	1.9658E-06
205.02	4.00506E-08	0.000002	0.00000001	1.95995E-06
215.01	4.21836E-08	0.000002	0.00000001	1.95782E-06
225.02	4.70604E-08	0.000002	0.00000001	1.95294E-06
235.01	5.69192E-08	0.000002	0.00000001	1.94308E-06
245.02	6.40935E-08	0.000002	0.00000001	1.93591E-06
255.02	6.28061E-08	0.000002	0.00000001	1.93719E-06
265.02	7.35044E-08	0.000002	0.00000001	1.9265E-06
275.02	7.46729E-08	0.000002	0.00000001	1.92533E-06
285.02	8.32916E-08	0.000002	0.00000001	1.91671E-06
295.01	9.01444E-08	0.000002	0.00000001	1.90986E-06
305.01	1.00448E-07	0.000002	0.00000001	1.89955E-06
315.02	1.04653E-07	0.000002	0.00000001	1.89535E-06
325.02	1.1171E-07	0.000002	0.00000001	1.88829E-06
335.02	1.20033E-07	0.000002	0.00000001	1.87997E-06
345.01	1.30564E-07	0.000002	0.00000001	1.86944E-06
355.02	1.36944E-07	0.000002	0.00000001	1.86306E-06
365.01	1.47298E-07	0.000002	0.00000001	1.8527E-06
375.01	1.53982E-07	0.000002	0.00000001	1.84602E-06
385.02	1.62553E-07	0.000002	0.00000001	1.83745E-06
395.01	1.71801E-07	0.000002	0.00000001	1.8282E-06
405.02	1.77994E-07	0.000002	0.00000001	1.82201E-06
415.02	1.89646E-07	0.000002	0.00000001	1.81035E-06
425.01	1.99438E-07	0.000002	0.00000001	1.80056E-06
435.02	2.0618E-07	0.000002	0.00000001	1.79382E-06
445.02	2.17375E-07	0.000002	0.00000001	1.78263E-06
455.01	2.27208E-07	0.000002	0.00000001	1.77279E-06
465.02	2.35788E-07	0.000002	0.00000001	1.76421E-06
475.01	2.48505E-07	0.000002	0.00000001	1.75149E-06
485.02	2.61176E-07	0.000002	0.00000001	1.73882E-06
495.01	2.68776E-07	0.000002	0.00000001	1.73122E-06
505.02	2.7561E-07	0.000002	0.00000001	1.72439E-06
515.01	2.97109E-07	0.000002	0.00000001	1.70289E-06
525.02	3.03185E-07	0.000002	0.00000001	1.69682E-06
535.01	3.15612E-07	0.000002	0.00000001	1.68439E-06
545.02	3.21738E-07	0.000002	0.00000001	1.67826E-06
555.01	3.31137E-07	0.000002	0.00000001	1.66886E-06
565.01	3.4359E-07	0.000002	0.00000001	1.65641E-06
575.03	3.57549E-07	0.000002	0.00000001	1.64245E-06
585.01	3.7379E-07	0.000002	0.00000001	1.62621E-06
595.01	3.87477E-07	0.000002	0.00000001	1.61252E-06
