Time (s)	5nM	[G-act]	[F204Y]	[G-act] (t)
15.05	2.03517E-09	0.000002	0.000000005	1.99796E-06
25.02	2.0575E-09	0.000002	0.000000005	1.99794E-06
35.02	2.42671E-09	0.000002	0.000000005	1.99757E-06
45.01	1.12403E-09	0.000002	0.000000005	1.99888E-06
55.02	0	0.000002	0.000000005	0.000002
65.01	2.19298E-09	0.000002	0.000000005	1.99781E-06
75.01	4.07033E-09	0.000002	0.000000005	1.99593E-06
85.02	3.20684E-09	0.000002	0.000000005	1.99679E-06
95.01	4.19539E-09	0.000002	0.000000005	1.9958E-06
105.02	3.10113E-09	0.000002	0.000000005	1.9969E-06
115.02	8.71533E-09	0.000002	0.000000005	1.99128E-06
125.02	8.45182E-09	0.000002	0.000000005	1.99155E-06
135.01	1.32874E-08	0.000002	0.000000005	1.98671E-06
145.01	1.30358E-08	0.000002	0.000000005	1.98696E-06
155.02	1.49384E-08	0.000002	0.000000005	1.98506E-06
165.02	1.36402E-08	0.000002	0.000000005	1.98636E-06
175.01	2.19089E-08	0.000002	0.000000005	1.97809E-06
185.02	2.48165E-08	0.000002	0.000000005	1.97518E-06
195.01	2.51068E-08	0.000002	0.000000005	1.97489E-06
205.01	3.23036E-08	0.000002	0.000000005	1.9677E-06
215.01	3.1781E-08	0.000002	0.000000005	1.96822E-06
225.01	3.72434E-08	0.000002	0.000000005	1.96276E-06
235.01	4.40069E-08	0.000002	0.000000005	1.95599E-06
245.01	4.39935E-08	0.000002	0.000000005	1.95601E-06
255.01	4.78941E-08	0.000002	0.000000005	1.95211E-06
265.01	5.31391E-08	0.000002	0.000000005	1.94686E-06
275.02	5.62923E-08	0.000002	0.000000005	1.94371E-06
285.02	6.29115E-08	0.000002	0.000000005	1.93709E-06
295.01	6.37392E-08	0.000002	0.000000005	1.93626E-06
305.01	7.39791E-08	0.000002	0.000000005	1.92602E-06
315.01	7.65055E-08	0.000002	0.000000005	1.92349E-06
325.02	7.98642E-08	0.000002	0.000000005	1.92014E-06
335.02	8.61201E-08	0.000002	0.000000005	1.91388E-06
345.02	9.49664E-08	0.000002	0.000000005	1.90503E-06
355.01	9.95817E-08	0.000002	0.000000005	1.90042E-06
365.01	1.03447E-07	0.000002	0.000000005	1.89655E-06
375.01	1.09987E-07	0.000002	0.000000005	1.89001E-06
385.02	1.17125E-07	0.000002	0.000000005	1.88287E-06
395.01	1.22183E-07	0.000002	0.000000005	1.87782E-06
405.01	1.28348E-07	0.000002	0.000000005	1.87165E-06
415.01	1.39478E-07	0.000002	0.000000005	1.86052E-06
425.02	1.46319E-07	0.000002	0.000000005	1.85368E-06
435.01	1.46685E-07	0.000002	0.000000005	1.85331E-06
