Time (s)	60nM_2	[G-act]	[F204Y]	[G-act] (t)
15.05	2.11941E-09	0.000002	0.00000006	1.99788E-06
25.02	3.19183E-09	0.000002	0.00000006	1.99681E-06
35.02	0	0.000002	0.00000006	0.000002
45.01	1.61536E-10	0.000002	0.00000006	1.99984E-06
55.02	4.75633E-09	0.000002	0.00000006	1.99524E-06
65.01	7.17638E-09	0.000002	0.00000006	1.99282E-06
75.01	1.19806E-08	0.000002	0.00000006	1.98802E-06
85.02	9.13426E-09	0.000002	0.00000006	1.99087E-06
95.01	1.16022E-08	0.000002	0.00000006	1.9884E-06
105.02	1.77405E-08	0.000002	0.00000006	1.98226E-06
115.02	2.69556E-08	0.000002	0.00000006	1.97304E-06
125.02	3.30146E-08	0.000002	0.00000006	1.96699E-06
135.01	4.06203E-08	0.000002	0.00000006	1.95938E-06
145.01	5.33457E-08	0.000002	0.00000006	1.94665E-06
155.02	6.13612E-08	0.000002	0.00000006	1.93864E-06
165.02	7.70242E-08	0.000002	0.00000006	1.92298E-06
175.01	8.74836E-08	0.000002	0.00000006	1.91252E-06
185.02	1.01824E-07	0.000002	0.00000006	1.89818E-06
195.01	1.21049E-07	0.000002	0.00000006	1.87895E-06
205.01	1.4718E-07	0.000002	0.00000006	1.85282E-06
215.01	1.62236E-07	0.000002	0.00000006	1.83776E-06
225.01	1.88043E-07	0.000002	0.00000006	1.81196E-06
235.01	2.07361E-07	0.000002	0.00000006	1.79264E-06
245.01	2.34074E-07	0.000002	0.00000006	1.76593E-06
255.01	2.63428E-07	0.000002	0.00000006	1.73657E-06
265.01	2.86892E-07	0.000002	0.00000006	1.71311E-06
275.02	3.2233E-07	0.000002	0.00000006	1.67767E-06
285.02	3.51572E-07	0.000002	0.00000006	1.64843E-06
295.01	3.77973E-07	0.000002	0.00000006	1.62203E-06
305.01	4.18394E-07	0.000002	0.00000006	1.58161E-06
315.01	4.50393E-07	0.000002	0.00000006	1.54961E-06
325.02	4.82635E-07	0.000002	0.00000006	1.51737E-06
335.02	5.23737E-07	0.000002	0.00000006	1.47626E-06
345.02	5.59098E-07	0.000002	0.00000006	1.4409E-06
355.01	5.89579E-07	0.000002	0.00000006	1.41042E-06
365.01	6.31213E-07	0.000002	0.00000006	1.36879E-06
375.01	6.80368E-07	0.000002	0.00000006	1.31963E-06
385.02	7.17418E-07	0.000002	0.00000006	1.28258E-06
395.01	7.6323E-07	0.000002	0.00000006	1.23677E-06
405.01	7.93916E-07	0.000002	0.00000006	1.20608E-06
415.01	8.35707E-07	0.000002	0.00000006	1.16429E-06
425.02	8.72259E-07	0.000002	0.00000006	1.12774E-06
435.01	9.10751E-07	0.000002	0.00000006	1.08925E-06
445.02	9.50905E-07	0.000002	0.00000006	1.0491E-06
455.01	9.89472E-07	0.000002	0.00000006	1.01053E-06
465.02	1.03254E-06	0.000002	0.00000006	9.67461E-07
475.01	1.06956E-06	0.000002	0.00000006	9.30443E-07
485.03	1.10175E-06	0.000002	0.00000006	8.98251E-07
495.01	1.14174E-06	0.000002	0.00000006	8.58263E-07
505.02	1.17759E-06	0.000002	0.00000006	8.22412E-07
515.01	1.22043E-06	0.000002	0.00000006	7.79565E-07
525.01	1.24716E-06	0.000002	0.00000006	7.52843E-07
535.02	1.27418E-06	0.000002	0.00000006	7.25823E-07
545.01	1.3207E-06	0.000002	0.00000006	6.79298E-07
555.01	1.34898E-06	0.000002	0.00000006	6.51017E-07
565.01	1.37799E-06	0.000002	0.00000006	6.22012E-07
575.02	1.40525E-06	0.000002	0.00000006	5.9475E-07
585.01	1.44326E-06	0.000002	0.00000006	5.56735E-07
595.02	1.46571E-06	0.000002	0.00000006	5.34292E-07
605.01	1.50291E-06	0.000002	0.00000006	4.97091E-07
615.02	1.52607E-06	0.000002	0.00000006	4.73926E-07
625.01	1.54758E-06	0.000002	0.00000006	4.52422E-07
635.01	1.57195E-06	0.000002	0.00000006	4.28048E-07
645.02	1.59346E-06	0.000002	0.00000006	4.0654E-07
655.02	1.61617E-06	0.000002	0.00000006	3.83834E-07
665.02	1.63952E-06	0.000002	0.00000006	3.60477E-07
675.01	1.65151E-06	0.000002	0.00000006	3.4849E-07
685.01	1.67181E-06	0.000002	0.00000006	3.28192E-07
695.02	1.67914E-06	0.000002	0.00000006	3.20857E-07
705.02	1.70833E-06	0.000002	0.00000006	2.91674E-07
715.01	1.71283E-06	0.000002	0.00000006	2.87168E-07
725.02	1.74228E-06	0.000002	0.00000006	2.57719E-07
735.01	1.75554E-06	0.000002	0.00000006	2.44464E-07
745.02	1.76986E-06	0.000002	0.00000006	2.30135E-07
755.02	1.7736E-06	0.000002	0.00000006	2.26403E-07
765.02	1.79524E-06	0.000002	0.00000006	2.04758E-07
775.01	1.80098E-06	0.000002	0.00000006	1.9902E-07
785.01	1.80817E-06	0.000002	0.00000006	1.91832E-07
795.02	1.81121E-06	0.000002	0.00000006	1.88789E-07
805.01	1.82409E-06	0.000002	0.00000006	1.75914E-07
815.01	1.82993E-06	0.000002	0.00000006	1.70071E-07
825.02	1.8434E-06	0.000002	0.00000006	1.56599E-07
835.01	1.84975E-06	0.000002	0.00000006	1.5025E-07
845.02	1.86003E-06	0.000002	0.00000006	1.39974E-07
855.02	1.8551E-06	0.000002	0.00000006	1.44901E-07
865.01	1.86576E-06	0.000002	0.00000006	1.3424E-07
875.01	1.868E-06	0.000002	0.00000006	1.32001E-07
885.02	1.86786E-06	0.000002	0.00000006	1.32135E-07
895.01	1.86776E-06	0.000002	0.00000006	1.32244E-07
905.02	1.88424E-06	0.000002	0.00000006	1.15765E-07
915.02	1.8826E-06	0.000002	0.00000006	1.17398E-07
925.01	1.87745E-06	0.000002	0.00000006	1.22551E-07
935.02	1.88942E-06	0.000002	0.00000006	1.10579E-07
945.01	1.88458E-06	0.000002	0.00000006	1.15422E-07
955.01	1.8822E-06	0.000002	0.00000006	1.178E-07
965.02	1.89392E-06	0.000002	0.00000006	1.06085E-07
975.02	1.89048E-06	0.000002	0.00000006	1.09522E-07
985.02	0.0000019	0.000002	0.00000006	1E-07
995.01	1.8997E-06	0.000002	0.00000006	1.00299E-07
1005.02	1.89589E-06	0.000002	0.00000006	1.0411E-07
1015.01	1.89429E-06	0.000002	0.00000006	1.05706E-07
1025.01	1.89379E-06	0.000002	0.00000006	1.06213E-07
1035.01	1.89256E-06	0.000002	0.00000006	1.07441E-07
1045.02	1.89223E-06	0.000002	0.00000006	1.07772E-07
1055.02	1.89662E-06	0.000002	0.00000006	1.03382E-07
1065.02	1.89218E-06	0.000002	0.00000006	1.0782E-07
1075.01	1.88909E-06	0.000002	0.00000006	1.1091E-07
1085.01	1.88355E-06	0.000002	0.00000006	1.16448E-07
1095.01	1.88344E-06	0.000002	0.00000006	1.16562E-07
1105.03	1.88117E-06	0.000002	0.00000006	1.18829E-07
1115.01	1.88512E-06	0.000002	0.00000006	1.14879E-07
1125.01	1.87396E-06	0.000002	0.00000006	1.26045E-07
1135.02	1.87959E-06	0.000002	0.00000006	1.20415E-07
1145.02	1.87148E-06	0.000002	0.00000006	1.28523E-07
1155.01	1.87614E-06	0.000002	0.00000006	1.23861E-07
1165.01	1.88304E-06	0.000002	0.00000006	1.16955E-07
1175.02	1.86571E-06	0.000002	0.00000006	1.34293E-07
1185.02	1.87026E-06	0.000002	0.00000006	1.29738E-07
1195.02	1.87612E-06	0.000002	0.00000006	1.23883E-07
1205.01	1.87779E-06	0.000002	0.00000006	1.2221E-07
1215.01	1.88301E-06	0.000002	0.00000006	1.1699E-07
1225.01	1.87346E-06	0.000002	0.00000006	1.26538E-07
1235.02	1.86284E-06	0.000002	0.00000006	1.37158E-07
1245.01	1.88074E-06	0.000002	0.00000006	1.19262E-07
1255.02	1.86643E-06	0.000002	0.00000006	1.33574E-07
1265.01	1.86416E-06	0.000002	0.00000006	1.35842E-07
1275.02	1.87678E-06	0.000002	0.00000006	1.23219E-07
1285.01	1.86696E-06	0.000002	0.00000006	1.33045E-07
1295.01	1.87389E-06	0.000002	0.00000006	1.26112E-07
1305.01	1.86094E-06	0.000002	0.00000006	1.39062E-07
1315.01	1.86517E-06	0.000002	0.00000006	1.34833E-07
1325.01	1.85523E-06	0.000002	0.00000006	1.44771E-07
1335.01	1.87539E-06	0.000002	0.00000006	1.24606E-07
1345.01	1.86829E-06	0.000002	0.00000006	1.31715E-07
1355.01	1.87189E-06	0.000002	0.00000006	1.28112E-07
1365.01	1.86107E-06	0.000002	0.00000006	1.38935E-07
1375.01	1.86551E-06	0.000002	0.00000006	1.34486E-07
1385.02	1.86562E-06	0.000002	0.00000006	1.34383E-07
1395.02	1.86088E-06	0.000002	0.00000006	1.39122E-07
1405.02	1.86613E-06	0.000002	0.00000006	1.33872E-07
