Time (s)	[F-actin] M	[G-act]	[SPIN90]	[G-act] (t)	[Arp2/3]
15.04	0	0.000003	0.00000175	0.000003	0.000000025
25.03	4.78723E-09	0.000003	0.00000175	2.99521E-06	0.000000025
35.01	1.06514E-08	0.000003	0.00000175	2.98935E-06	0.000000025
45.02	1.76236E-08	0.000003	0.00000175	2.98238E-06	0.000000025
55.02	2.73089E-08	0.000003	0.00000175	2.97269E-06	0.000000025
65.02	4.12342E-08	0.000003	0.00000175	2.95877E-06	0.000000025
75.01	5.97564E-08	0.000003	0.00000175	2.94024E-06	0.000000025
85.01	7.56746E-08	0.000003	0.00000175	2.92433E-06	0.000000025
95.02	9.96471E-08	0.000003	0.00000175	2.90035E-06	0.000000025
105.01	1.17288E-07	0.000003	0.00000175	2.88271E-06	0.000000025
115.03	1.45778E-07	0.000003	0.00000175	2.85422E-06	0.000000025
125.01	1.76793E-07	0.000003	0.00000175	2.82321E-06	0.000000025
135.01	2.07503E-07	0.000003	0.00000175	2.7925E-06	0.000000025
145.02	2.38989E-07	0.000003	0.00000175	2.76101E-06	0.000000025
155.02	2.77884E-07	0.000003	0.00000175	2.72212E-06	0.000000025
165.01	3.16541E-07	0.000003	0.00000175	2.68346E-06	0.000000025
175.01	3.60794E-07	0.000003	0.00000175	2.63921E-06	0.000000025
185.01	3.9795E-07	0.000003	0.00000175	2.60205E-06	0.000000025
195.02	4.37451E-07	0.000003	0.00000175	2.56255E-06	0.000000025
205.02	4.91423E-07	0.000003	0.00000175	2.50858E-06	0.000000025
215.02	5.29326E-07	0.000003	0.00000175	2.47067E-06	0.000000025
225.02	5.72457E-07	0.000003	0.00000175	2.42754E-06	0.000000025
235.01	6.18056E-07	0.000003	0.00000175	2.38194E-06	0.000000025
245.01	6.73968E-07	0.000003	0.00000175	2.32603E-06	0.000000025
255.02	7.12404E-07	0.000003	0.00000175	2.2876E-06	0.000000025
265.02	7.586E-07	0.000003	0.00000175	2.2414E-06	0.000000025
275.01	8.09E-07	0.000003	0.00000175	2.191E-06	0.000000025
285.02	8.58247E-07	0.000003	0.00000175	2.14175E-06	0.000000025
295.02	9.09184E-07	0.000003	0.00000175	2.09082E-06	0.000000025
305.01	9.58203E-07	0.000003	0.00000175	2.0418E-06	0.000000025
315.02	9.96732E-07	0.000003	0.00000175	2.00327E-06	0.000000025
325.01	1.03512E-06	0.000003	0.00000175	1.96488E-06	0.000000025
335.01	1.08698E-06	0.000003	0.00000175	1.91302E-06	0.000000025
345.01	1.12904E-06	0.000003	0.00000175	1.87096E-06	0.000000025
355.01	1.1761E-06	0.000003	0.00000175	1.8239E-06	0.000000025
365.02	1.22779E-06	0.000003	0.00000175	1.77221E-06	0.000000025
375.02	1.25538E-06	0.000003	0.00000175	1.74462E-06	0.000000025
385.01	1.31021E-06	0.000003	0.00000175	1.68979E-06	0.000000025
395.02	1.36017E-06	0.000003	0.00000175	1.63983E-06	0.000000025
405.01	1.39366E-06	0.000003	0.00000175	1.60634E-06	0.000000025
415.02	1.42966E-06	0.000003	0.00000175	1.57034E-06	0.000000025
425.02	1.47209E-06	0.000003	0.00000175	1.52791E-06	0.000000025
435.02	1.52123E-06	0.000003	0.00000175	1.47877E-06	0.000000025
445.01	1.55906E-06	0.000003	0.00000175	1.44094E-06	0.000000025
455.02	1.59113E-06	0.000003	0.00000175	1.40887E-06	0.000000025
465.02	1.62648E-06	0.000003	0.00000175	1.37352E-06	0.000000025
475.01	1.66793E-06	0.000003	0.00000175	1.33207E-06	0.000000025
485.01	1.69758E-06	0.000003	0.00000175	1.30242E-06	0.000000025
495.02	1.72255E-06	0.000003	0.00000175	1.27745E-06	0.000000025
505.01	1.76356E-06	0.000003	0.00000175	1.23644E-06	0.000000025
515.01	1.80061E-06	0.000003	0.00000175	1.19939E-06	0.000000025
525.02	1.82582E-06	0.000003	0.00000175	1.17418E-06	0.000000025
535.02	1.85693E-06	0.000003	0.00000175	1.14307E-06	0.000000025
545.01	1.88952E-06	0.000003	0.00000175	1.11048E-06	0.000000025
555.02	1.92207E-06	0.000003	0.00000175	1.07793E-06	0.000000025
565.01	1.94145E-06	0.000003	0.00000175	1.05855E-06	0.000000025
575.01	1.97789E-06	0.000003	0.00000175	1.02211E-06	0.000000025
585.02	2.01468E-06	0.000003	0.00000175	9.85315E-07	0.000000025
595.02	2.02626E-06	0.000003	0.00000175	9.7374E-07	0.000000025
605.02	2.04861E-06	0.000003	0.00000175	9.51386E-07	0.000000025
615.02	2.08376E-06	0.000003	0.00000175	9.16237E-07	0.000000025
625.02	2.10233E-06	0.000003	0.00000175	8.97667E-07	0.000000025
635.01	2.14179E-06	0.000003	0.00000175	8.58214E-07	0.000000025
645	2.14909E-06	0.000003	0.00000175	8.50909E-07	0.000000025
655.02	2.16326E-06	0.000003	0.00000175	8.36738E-07	0.000000025
665.03	2.19586E-06	0.000003	0.00000175	8.04138E-07	0.000000025
675.02	2.21887E-06	0.000003	0.00000175	7.81134E-07	0.000000025
685.01	2.24241E-06	0.000003	0.00000175	7.57592E-07	0.000000025
695.01	2.26616E-06	0.000003	0.00000175	7.33838E-07	0.000000025
705.02	2.28167E-06	0.000003	0.00000175	7.18328E-07	0.000000025
715.02	2.30094E-06	0.000003	0.00000175	6.99062E-07	0.000000025
