Time (s)	[F-actin] M	[G-act]	[SPIN90]	[G-act] (t)	[Arp2/3]
15.04	0	0.000003	0.000001	0.000003	0.000000025
25.03	4.3218E-09	0.000003	0.000001	2.99568E-06	0.000000025
35.01	6.79496E-09	0.000003	0.000001	2.99321E-06	0.000000025
45.02	1.04745E-08	0.000003	0.000001	2.98953E-06	0.000000025
55.02	1.68543E-08	0.000003	0.000001	2.98315E-06	0.000000025
65.02	2.80598E-08	0.000003	0.000001	2.97194E-06	0.000000025
75.01	3.91109E-08	0.000003	0.000001	2.96089E-06	0.000000025
85.01	5.76826E-08	0.000003	0.000001	2.94232E-06	0.000000025
95.02	7.3217E-08	0.000003	0.000001	2.92678E-06	0.000000025
105.01	9.06976E-08	0.000003	0.000001	2.9093E-06	0.000000025
115.03	1.14333E-07	0.000003	0.000001	2.88567E-06	0.000000025
125.01	1.35773E-07	0.000003	0.000001	2.86423E-06	0.000000025
135.01	1.68923E-07	0.000003	0.000001	2.83108E-06	0.000000025
145.02	1.95452E-07	0.000003	0.000001	2.80455E-06	0.000000025
155.02	2.28181E-07	0.000003	0.000001	2.77182E-06	0.000000025
165.01	2.58464E-07	0.000003	0.000001	2.74154E-06	0.000000025
175.01	2.91718E-07	0.000003	0.000001	2.70828E-06	0.000000025
185.01	3.2322E-07	0.000003	0.000001	2.67678E-06	0.000000025
195.02	3.61241E-07	0.000003	0.000001	2.63876E-06	0.000000025
205.02	4.04992E-07	0.000003	0.000001	2.59501E-06	0.000000025
215.02	4.36882E-07	0.000003	0.000001	2.56312E-06	0.000000025
225.02	4.81583E-07	0.000003	0.000001	2.51842E-06	0.000000025
235.01	5.13929E-07	0.000003	0.000001	2.48607E-06	0.000000025
245.01	5.57531E-07	0.000003	0.000001	2.44247E-06	0.000000025
255.02	6.08062E-07	0.000003	0.000001	2.39194E-06	0.000000025
265.02	6.48184E-07	0.000003	0.000001	2.35182E-06	0.000000025
275.01	6.87057E-07	0.000003	0.000001	2.31294E-06	0.000000025
285.02	7.26654E-07	0.000003	0.000001	2.27335E-06	0.000000025
