Time (s)	[F-actin] M	[G-act]	[SPIN90]	[G-act] (t)	[Arp2/3]
15.04	0	0.000003	0	0.000003	0
25.03	4.63657E-09	0.000003	0	2.99536E-06	0
35.01	1.01865E-08	0.000003	0	2.98981E-06	0
45.02	1.33665E-08	0.000003	0	2.98663E-06	0
55.02	2.6453E-08	0.000003	0	2.97355E-06	0
65.02	3.00898E-08	0.000003	0	2.96991E-06	0
75.01	3.86882E-08	0.000003	0	2.96131E-06	0
85.01	4.83109E-08	0.000003	0	2.95169E-06	0
95.02	6.30908E-08	0.000003	0	2.93691E-06	0
105.01	7.495E-08	0.000003	0	2.92505E-06	0
115.03	8.82489E-08	0.000003	0	2.91175E-06	0
125.01	1.01598E-07	0.000003	0	2.8984E-06	0
135.01	1.14198E-07	0.000003	0	2.8858E-06	0
145.02	1.36411E-07	0.000003	0	2.86359E-06	0
155.02	1.48896E-07	0.000003	0	2.8511E-06	0
165.01	1.68187E-07	0.000003	0	2.83181E-06	0
175.01	1.8441E-07	0.000003	0	2.81559E-06	0
185.01	2.01393E-07	0.000003	0	2.79861E-06	0
195.02	2.23309E-07	0.000003	0	2.77669E-06	0
205.02	2.46052E-07	0.000003	0	2.75395E-06	0
215.02	2.63001E-07	0.000003	0	2.737E-06	0
225.02	2.84686E-07	0.000003	0	2.71531E-06	0
235.01	3.08665E-07	0.000003	0	2.69133E-06	0
245.01	3.35761E-07	0.000003	0	2.66424E-06	0
255.02	3.49909E-07	0.000003	0	2.65009E-06	0
265.02	3.76129E-07	0.000003	0	2.62387E-06	0
275.01	4.03334E-07	0.000003	0	2.59667E-06	0
285.02	4.24771E-07	0.000003	0	2.57523E-06	0
295.02	4.52344E-07	0.000003	0	2.54766E-06	0
305.01	4.7208E-07	0.000003	0	2.52792E-06	0
315.02	5.01625E-07	0.000003	0	2.49838E-06	0
325.01	5.31993E-07	0.000003	0	2.46801E-06	0
335.01	5.49408E-07	0.000003	0	2.45059E-06	0
345.01	5.72793E-07	0.000003	0	2.42721E-06	0
355.01	6.00261E-07	0.000003	0	2.39974E-06	0
365.02	6.24072E-07	0.000003	0	2.37593E-06	0
375.02	6.5123E-07	0.000003	0	2.34877E-06	0
385.01	6.85881E-07	0.000003	0	2.31412E-06	0
395.02	7.09598E-07	0.000003	0	2.2904E-06	0
405.01	7.25285E-07	0.000003	0	2.27471E-06	0
415.02	7.50502E-07	0.000003	0	2.2495E-06	0
425.02	7.79981E-07	0.000003	0	2.22002E-06	0
435.02	8.02118E-07	0.000003	0	2.19788E-06	0
445.01	8.34076E-07	0.000003	0	2.16592E-06	0
455.02	8.4786E-07	0.000003	0	2.15214E-06	0
465.02	8.77514E-07	0.000003	0	2.12249E-06	0
475.01	8.98569E-07	0.000003	0	2.10143E-06	0
485.01	9.26473E-07	0.000003	0	2.07353E-06	0
495.02	9.51218E-07	0.000003	0	2.04878E-06	0
505.01	9.8257E-07	0.000003	0	2.01743E-06	0
515.01	9.9508E-07	0.000003	0	2.00492E-06	0
525.02	1.02655E-06	0.000003	0	1.97345E-06	0
535.02	1.04667E-06	0.000003	0	1.95333E-06	0
545.01	1.07753E-06	0.000003	0	1.92247E-06	0
555.02	1.08729E-06	0.000003	0	1.91271E-06	0
565.01	1.12933E-06	0.000003	0	1.87067E-06	0
575.01	1.13589E-06	0.000003	0	1.86411E-06	0
585.02	1.17399E-06	0.000003	0	1.82601E-06	0
595.02	1.18698E-06	0.000003	0	1.81302E-06	0
605.02	1.20442E-06	0.000003	0	1.79558E-06	0
615.02	1.23713E-06	0.000003	0	1.76287E-06	0
625.02	1.26049E-06	0.000003	0	1.73951E-06	0
635.01	1.2616E-06	0.000003	0	1.7384E-06	0
645	1.28786E-06	0.000003	0	1.71214E-06	0
655.02	1.30785E-06	0.000003	0	1.69215E-06	0
665.03	1.33536E-06	0.000003	0	1.66464E-06	0
675.02	1.34278E-06	0.000003	0	1.65722E-06	0
685.01	1.39E-06	0.000003	0	1.61E-06	0
695.01	1.39485E-06	0.000003	0	1.60515E-06	0
705.02	1.41772E-06	0.000003	0	1.58228E-06	0
715.02	1.43647E-06	0.000003	0	1.56353E-06	0
725.02	1.46042E-06	0.000003	0	1.53958E-06	0
735.02	1.4666E-06	0.000003	0	1.5334E-06	0
745.01	1.49684E-06	0.000003	0	1.50316E-06	0
755.02	1.51655E-06	0.000003	0	1.48345E-06	0
765.02	1.52788E-06	0.000003	0	1.47212E-06	0
775.02	1.54513E-06	0.000003	0	1.45487E-06	0
785.01	1.56814E-06	0.000003	0	1.43186E-06	0
795.02	1.57291E-06	0.000003	0	1.42709E-06	0
805.02	1.59805E-06	0.000003	0	1.40195E-06	0
815.01	1.61885E-06	0.000003	0	1.38115E-06	0
825.03	1.63633E-06	0.000003	0	1.36367E-06	0
835.02	1.65249E-06	0.000003	0	1.34751E-06	0
845.03	1.66651E-06	0.000003	0	1.33349E-06	0
855.01	1.68143E-06	0.000003	0	1.31857E-06	0
865.01	1.69477E-06	0.000003	0	1.30523E-06	0
875.01	1.70798E-06	0.000003	0	1.29202E-06	0
885.02	1.73864E-06	0.000003	0	1.26136E-06	0
895.01	1.74755E-06	0.000003	0	1.25245E-06	0
